NumPoints = 19635
X = 0.726249; Y = 0.561703
X = 0.888269; Y = 0.716055
X = 0.964121; Y = 0.547142
X = 0.686529; Y = 0.322921
X = 0.676429; Y = 0.326387
X = 0.880456; Y = 0.691675
X = 0.887319; Y = 0.69358
X = 0.677575; Y = 0.741402
X = 0.769571; Y = 0.727128
X = 0.790693; Y = 0.744478
X = 0.786132; Y = 0.751646
X = 0.892419; Y = 0.69669
X = 0.892591; Y = 0.702185
X = 0.847143; Y = 0.39777
X = 0.917165; Y = 0.670044
X = 0.91587; Y = 0.676996
X = 0.909794; Y = 0.682735
X = 0.505465; Y = 0.651186
X = 0.498492; Y = 0.649396
X = 0.497788; Y = 0.642521
X = 0.812853; Y = 0.329754
X = 0.800479; Y = 0.326483
X = 0.807994; Y = 0.327925
X = 0.517625; Y = 0.681924
X = 0.511104; Y = 0.684164
X = 0.898903; Y = 0.411375
X = 0.821059; Y = 0.336642
X = 0.810205; Y = 0.335925
X = 0.824011; Y = 0.340761
X = 0.854313; Y = 0.384153
X = 0.849386; Y = 0.391787
X = 0.853982; Y = 0.379083
X = 0.849644; Y = 0.373452
X = 0.831615; Y = 0.334519
X = 0.829752; Y = 0.345765
X = 0.824252; Y = 0.348508
X = 0.827168; Y = 0.331773
X = 0.833325; Y = 0.34117
X = 0.969086; Y = 0.423961
X = 0.956427; Y = 0.426858
X = 0.97216; Y = 0.43477
X = 0.972782; Y = 0.428741
X = 0.96215; Y = 0.457237
X = 0.958787; Y = 0.449222
X = 0.96671; Y = 0.450797
X = 0.917842; Y = 0.685016
X = 0.920061; Y = 0.680526
X = 0.925333; Y = 0.678812
X = 0.536912; Y = 0.673679
X = 0.628457; Y = 0.358365
X = 0.622901; Y = 0.361766
X = 0.700142; Y = 0.318815
X = 0.6924; Y = 0.315845
X = 0.966986; Y = 0.445796
X = 0.507413; Y = 0.459375
X = 0.495934; Y = 0.482881
X = 0.489476; Y = 0.4835
X = 0.797796; Y = 0.317507
X = 0.781899; Y = 0.316974
X = 0.793998; Y = 0.313111
X = 0.788988; Y = 0.316909
X = 0.580212; Y = 0.721933
X = 0.574632; Y = 0.730006
X = 0.576726; Y = 0.714681
X = 0.581151; Y = 0.729501
X = 0.572516; Y = 0.717443
X = 0.967798; Y = 0.589105
X = 0.967015; Y = 0.595547
X = 0.961005; Y = 0.585128
X = 0.965605; Y = 0.582089
X = 0.955718; Y = 0.585839
X = 0.879644; Y = 0.68607
X = 0.878509; Y = 0.680542
X = 0.66567; Y = 0.321724
X = 0.660929; Y = 0.327724
X = 0.670243; Y = 0.325723
X = 0.686305; Y = 0.314932
X = 0.681853; Y = 0.31873
X = 0.681729; Y = 0.325137
X = 0.561253; Y = 0.447046
X = 0.556; Y = 0.727445
X = 0.553665; Y = 0.722118
X = 0.86817; Y = 0.64776
X = 0.50509; Y = 0.632147
X = 0.803851; Y = 0.738145
X = 0.809591; Y = 0.735146
X = 0.796123; Y = 0.74067
X = 0.58197; Y = 0.443643
X = 0.559575; Y = 0.407772
X = 0.549573; Y = 0.410059
X = 0.548722; Y = 0.419154
X = 0.744525; Y = 0.316044
X = 0.736417; Y = 0.31542
X = 0.733697; Y = 0.31975
X = 0.758081; Y = 0.310855
X = 0.571636; Y = 0.405827
X = 0.763249; Y = 0.736088
X = 0.651794; Y = 0.352874
X = 0.644224; Y = 0.351719
X = 0.651439; Y = 0.358663
X = 0.72188; Y = 0.321265
X = 0.716158; Y = 0.327161
X = 0.72712; Y = 0.3243
X = 0.748598; Y = 0.312572
X = 0.893565; Y = 0.71309
X = 0.896293; Y = 0.705721
X = 0.85152; Y = 0.401817
X = 0.571176; Y = 0.395774
X = 0.802222; Y = 0.350485
X = 0.816994; Y = 0.333498
X = 0.821568; Y = 0.330375
X = 0.838955; Y = 0.743596
X = 0.914803; Y = 0.416345
X = 0.904258; Y = 0.41401
X = 0.908428; Y = 0.417204
X = 0.873647; Y = 0.396132
X = 0.865645; Y = 0.388859
X = 0.871659; Y = 0.388114
X = 0.860619; Y = 0.390457
X = 0.48009; Y = 0.534209
X = 0.474747; Y = 0.537653
X = 0.47754; Y = 0.542944
X = 0.965979; Y = 0.569819
X = 0.963304; Y = 0.564323
X = 0.809104; Y = 0.745222
X = 0.802647; Y = 0.745872
X = 0.811943; Y = 0.740973
X = 0.954426; Y = 0.417403
X = 0.950834; Y = 0.42661
X = 0.962747; Y = 0.426178
X = 0.95842; Y = 0.432398
X = 0.961205; Y = 0.420981
X = 0.948047; Y = 0.422431
X = 0.542753; Y = 0.446173
X = 0.535416; Y = 0.451537
X = 0.630913; Y = 0.350729
X = 0.62473; Y = 0.351119
X = 0.635784; Y = 0.353909
X = 0.493239; Y = 0.532716
X = 0.796879; Y = 0.34889
X = 0.953517; Y = 0.409966
X = 0.948063; Y = 0.416644
X = 0.95867; Y = 0.412952
X = 0.587569; Y = 0.719602
X = 0.588507; Y = 0.726267
X = 0.485564; Y = 0.529287
X = 0.548485; Y = 0.717829
X = 0.906952; Y = 0.68893
X = 0.91201; Y = 0.689507
X = 0.901866; Y = 0.688104
X = 0.680325; Y = 0.753347
X = 0.676273; Y = 0.749533
X = 0.651286; Y = 0.333413
X = 0.524188; Y = 0.677281
X = 0.529582; Y = 0.679522
X = 0.953147; Y = 0.401321
X = 0.946263; Y = 0.408464
X = 0.958732; Y = 0.404
X = 0.57155; Y = 0.38671
X = 0.575617; Y = 0.380588
X = 0.844252; Y = 0.743201
X = 0.830668; Y = 0.745736
X = 0.665918; Y = 0.74459
X = 0.672098; Y = 0.740498
X = 0.573483; Y = 0.400332
X = 0.726382; Y = 0.31766
X = 0.731002; Y = 0.312888
X = 0.99408; Y = 0.475853
X = 0.934035; Y = 0.653547
X = 0.934943; Y = 0.642243
X = 0.647618; Y = 0.339
X = 0.651939; Y = 0.342049
X = 0.653964; Y = 0.326847
X = 0.910886; Y = 0.406862
X = 0.9048; Y = 0.408981
X = 0.681457; Y = 0.761977
X = 0.672266; Y = 0.753887
X = 0.672786; Y = 0.759332
X = 0.653157; Y = 0.347844
X = 0.901537; Y = 0.399683
X = 0.894254; Y = 0.399959
X = 0.906222; Y = 0.403592
X = 0.896165; Y = 0.395294
X = 0.891655; Y = 0.407393
X = 0.604071; Y = 0.377165
X = 0.854146; Y = 0.389681
X = 0.668531; Y = 0.316031
X = 0.673103; Y = 0.319385
X = 0.896087; Y = 0.693103
X = 0.900663; Y = 0.697518
X = 0.795763; Y = 0.746664
X = 0.468056; Y = 0.539821
X = 0.512421; Y = 0.600346
X = 0.923721; Y = 0.422383
X = 0.920449; Y = 0.41683
X = 0.849895; Y = 0.366112
X = 0.843234; Y = 0.364524
X = 0.970522; Y = 0.550291
X = 0.970467; Y = 0.540018
X = 0.49167; Y = 0.636383
X = 0.491131; Y = 0.629091
X = 0.883147; Y = 0.393293
X = 0.878045; Y = 0.389968
X = 0.922778; Y = 0.690014
X = 0.92429; Y = 0.685037
X = 0.484465; Y = 0.518628
X = 0.479653; Y = 0.513965
X = 0.479543; Y = 0.52159
X = 0.476616; Y = 0.508656
X = 0.926197; Y = 0.41687
X = 0.917653; Y = 0.407617
X = 0.927419; Y = 0.411176
X = 0.704718; Y = 0.327967
X = 0.795575; Y = 0.322702
X = 0.783418; Y = 0.309477
X = 0.790437; Y = 0.308634
X = 0.515527; Y = 0.65136
X = 0.770918; Y = 0.316935
X = 0.767001; Y = 0.313282
X = 0.765807; Y = 0.319771
X = 0.763019; Y = 0.309372
X = 0.49918; Y = 0.475095
X = 0.49275; Y = 0.477196
X = 0.65787; Y = 0.323315
X = 0.660592; Y = 0.318727
X = 0.772599; Y = 0.309903
X = 0.766624; Y = 0.303728
X = 0.991774; Y = 0.465456
X = 0.998071; Y = 0.467007
X = 0.935884; Y = 0.414818
X = 0.93319; Y = 0.409574
X = 0.930944; Y = 0.404274
X = 0.921246; Y = 0.411591
X = 0.554602; Y = 0.445801
X = 0.555119; Y = 0.440347
X = 0.560668; Y = 0.439429
X = 0.928315; Y = 0.657344
X = 0.920971; Y = 0.658517
X = 0.549241; Y = 0.427069
X = 0.544773; Y = 0.423539
X = 0.617742; Y = 0.749848
X = 0.620822; Y = 0.754036
X = 0.613705; Y = 0.746729
X = 0.836509; Y = 0.748579
X = 0.846432; Y = 0.74826
X = 0.841854; Y = 0.75257
X = 0.57426; Y = 0.735135
X = 0.582877; Y = 0.736561
X = 0.586559; Y = 0.731127
X = 0.502155; Y = 0.469775
X = 0.541306; Y = 0.669065
X = 0.655554; Y = 0.317378
X = 0.64588; Y = 0.322253
X = 0.646062; Y = 0.329726
X = 0.742066; Y = 0.31114
X = 0.995416; Y = 0.512478
X = 0.584972; Y = 0.714953
X = 0.902901; Y = 0.394642
X = 0.891214; Y = 0.390689
X = 0.901895; Y = 0.38892
X = 0.897301; Y = 0.386411
X = 0.491824; Y = 0.643201
X = 0.492354; Y = 0.648815
X = 0.648071; Y = 0.345738
X = 0.556927; Y = 0.433722
X = 0.608761; Y = 0.378982
X = 0.566083; Y = 0.400879
X = 0.566342; Y = 0.409835
X = 0.642466; Y = 0.342918
X = 0.780888; Y = 0.752889
X = 0.98096; Y = 0.426297
X = 0.972139; Y = 0.419961
X = 0.977535; Y = 0.431652
X = 0.566964; Y = 0.457717
X = 0.91218; Y = 0.401346
X = 0.927353; Y = 0.429699
X = 0.471888; Y = 0.512699
X = 0.502797; Y = 0.691656
X = 0.503643; Y = 0.697119
X = 0.505013; Y = 0.686301
X = 0.474102; Y = 0.501664
X = 0.485104; Y = 0.499326
X = 0.930195; Y = 0.422379
X = 0.663346; Y = 0.31392
X = 0.658958; Y = 0.309703
X = 0.651071; Y = 0.30869
X = 0.652552; Y = 0.321829
X = 0.979703; Y = 0.438472
X = 0.972289; Y = 0.44198
X = 0.643812; Y = 0.335617
X = 0.542901; Y = 0.430071
X = 0.550141; Y = 0.432581
X = 0.483024; Y = 0.641466
X = 0.48738; Y = 0.645506
X = 0.485108; Y = 0.649994
X = 0.485751; Y = 0.637252
X = 0.583571; Y = 0.746194
X = 0.587535; Y = 0.738652
X = 0.589975; Y = 0.743434
X = 0.575871; Y = 0.740876
X = 0.817256; Y = 0.73352
X = 0.818278; Y = 0.743788
X = 0.517252; Y = 0.672006
X = 0.513105; Y = 0.677606
X = 0.612683; Y = 0.756301
X = 0.608423; Y = 0.752134
X = 0.911012; Y = 0.389255
X = 0.90727; Y = 0.382512
X = 0.899796; Y = 0.379471
X = 0.997013; Y = 0.480559
X = 0.943061; Y = 0.423163
X = 0.732061; Y = 0.307778
X = 0.561834; Y = 0.430112
X = 0.948384; Y = 0.399592
X = 0.951564; Y = 0.392032
X = 0.962125; Y = 0.400266
X = 0.95665; Y = 0.396711
X = 0.923846; Y = 0.672866
X = 0.913259; Y = 0.665467
X = 0.919329; Y = 0.665443
X = 0.965512; Y = 0.556609
X = 0.813186; Y = 0.322844
X = 0.819121; Y = 0.325328
X = 0.480044; Y = 0.610705
X = 0.548291; Y = 0.445755
X = 0.931175; Y = 0.685093
X = 0.933088; Y = 0.675045
X = 0.465437; Y = 0.592957
X = 0.466301; Y = 0.599822
X = 0.476645; Y = 0.591431
X = 0.49401; Y = 0.467383
X = 0.501736; Y = 0.462334
X = 0.676921; Y = 0.310901
X = 0.669794; Y = 0.311126
X = 0.918443; Y = 0.400821
X = 0.512367; Y = 0.656086
X = 0.506681; Y = 0.660696
X = 0.497782; Y = 0.656389
X = 0.542438; Y = 0.40607
X = 0.553041; Y = 0.40593
X = 0.543801; Y = 0.415681
X = 0.540415; Y = 0.41185
X = 0.547414; Y = 0.40336
X = 0.52165; Y = 0.652124
X = 0.878713; Y = 0.396169
X = 0.873859; Y = 0.38155
X = 0.885542; Y = 0.38688
X = 0.882231; Y = 0.381107
X = 0.47498; Y = 0.531779
X = 0.467536; Y = 0.531751
X = 0.758904; Y = 0.302525
X = 0.771726; Y = 0.304682
X = 0.834625; Y = 0.355955
X = 0.836219; Y = 0.363872
X = 0.831046; Y = 0.368833
X = 0.826738; Y = 0.374229
X = 0.824361; Y = 0.323965
X = 0.833925; Y = 0.327055
X = 0.460708; Y = 0.547491
X = 0.464082; Y = 0.543614
X = 0.776039; Y = 0.318502
X = 0.777664; Y = 0.310718
X = 0.901493; Y = 0.706884
X = 0.900669; Y = 0.712572
X = 0.951901; Y = 0.630847
X = 0.948477; Y = 0.617361
X = 0.953684; Y = 0.616229
X = 0.959127; Y = 0.628742
X = 0.709767; Y = 0.316989
X = 0.702041; Y = 0.312909
X = 0.697897; Y = 0.309258
X = 0.640395; Y = 0.331327
X = 0.627552; Y = 0.720783
X = 0.551405; Y = 0.397398
X = 0.542167; Y = 0.396059
X = 0.557252; Y = 0.402078
X = 0.754816; Y = 0.314729
X = 0.754536; Y = 0.305488
X = 0.978023; Y = 0.414724
X = 0.970319; Y = 0.410652
X = 0.965849; Y = 0.418085
X = 0.97557; Y = 0.424479
X = 0.477941; Y = 0.633236
X = 0.483476; Y = 0.631186
X = 0.476639; Y = 0.640688
X = 0.650441; Y = 0.75252
X = 0.519686; Y = 0.657797
X = 0.518895; Y = 0.663495
X = 0.641462; Y = 0.745579
X = 0.720877; Y = 0.76584
X = 0.726209; Y = 0.773146
X = 0.66208; Y = 0.74814
X = 0.485632; Y = 0.625814
X = 0.489444; Y = 0.62204
X = 0.484382; Y = 0.619634
X = 0.493895; Y = 0.618726
X = 0.839149; Y = 0.334294
X = 0.839263; Y = 0.340094
X = 0.547212; Y = 0.438885
X = 0.542529; Y = 0.441009
X = 0.910343; Y = 0.710759
X = 0.904069; Y = 0.716444
X = 0.908581; Y = 0.703861
X = 0.714323; Y = 0.766174
X = 0.717227; Y = 0.77419
X = 0.475253; Y = 0.571249
X = 0.507969; Y = 0.67646
X = 0.512514; Y = 0.669723
X = 0.474006; Y = 0.617915
X = 0.581477; Y = 0.754101
X = 0.576616; Y = 0.747835
X = 0.590232; Y = 0.752355
X = 0.939345; Y = 0.419762
X = 0.68272; Y = 0.308802
X = 0.943415; Y = 0.413681
X = 0.672595; Y = 0.331018
X = 0.938775; Y = 0.410448
X = 0.545562; Y = 0.725355
X = 0.540131; Y = 0.722052
X = 0.541924; Y = 0.717242
X = 0.859426; Y = 0.737123
X = 0.851397; Y = 0.742178
X = 0.860984; Y = 0.732104
X = 0.982356; Y = 0.446845
X = 0.983761; Y = 0.431186
X = 0.987023; Y = 0.442538
X = 0.98873; Y = 0.436847
X = 0.977172; Y = 0.445564
X = 0.618274; Y = 0.759258
X = 0.629474; Y = 0.754296
X = 0.623274; Y = 0.762911
X = 0.626471; Y = 0.758509
X = 0.691718; Y = 0.309088
X = 0.478636; Y = 0.584821
X = 0.46262; Y = 0.533867
X = 0.465083; Y = 0.523665
X = 0.458089; Y = 0.531691
X = 0.472228; Y = 0.524043
X = 0.805082; Y = 0.322827
X = 0.869243; Y = 0.383725
X = 0.86617; Y = 0.379304
X = 0.933616; Y = 0.659127
X = 0.940595; Y = 0.650567
X = 0.939123; Y = 0.660589
X = 0.929639; Y = 0.650531
X = 0.697552; Y = 0.768181
X = 0.698078; Y = 0.761879
X = 0.701822; Y = 0.76539
X = 0.708628; Y = 0.761923
X = 0.596396; Y = 0.741425
X = 0.500488; Y = 0.480229
X = 0.978942; Y = 0.553555
X = 0.975534; Y = 0.547334
X = 0.97437; Y = 0.557408
X = 0.619508; Y = 0.358076
X = 0.614269; Y = 0.361277
X = 0.940384; Y = 0.402587
X = 0.84789; Y = 0.75707
X = 0.853793; Y = 0.748892
X = 0.861277; Y = 0.719118
X = 0.526071; Y = 0.705728
X = 0.531935; Y = 0.704556
X = 0.958891; Y = 0.390653
X = 0.963635; Y = 0.394102
X = 0.466171; Y = 0.5715
X = 0.562216; Y = 0.390034
X = 0.566741; Y = 0.383309
X = 0.571081; Y = 0.376819
X = 0.878312; Y = 0.375902
X = 0.871351; Y = 0.375805
X = 0.584115; Y = 0.708775
X = 0.837057; Y = 0.318508
X = 0.831143; Y = 0.321004
X = 0.841094; Y = 0.326489
X = 0.908065; Y = 0.396671
X = 0.633902; Y = 0.336512
X = 0.635249; Y = 0.330899
X = 0.972367; Y = 0.6038
X = 0.961776; Y = 0.602264
X = 0.962246; Y = 0.597064
X = 0.972689; Y = 0.595397
X = 0.967751; Y = 0.600576
X = 0.48045; Y = 0.528129
X = 0.823445; Y = 0.730058
X = 0.815034; Y = 0.728855
X = 0.510711; Y = 0.444609
X = 0.503837; Y = 0.44791
X = 0.929741; Y = 0.694425
X = 0.933282; Y = 0.689897
X = 0.938829; Y = 0.688281
X = 0.830832; Y = 0.752057
X = 0.821241; Y = 0.748214
X = 0.962336; Y = 0.408337
X = 0.782992; Y = 0.303647
X = 0.861851; Y = 0.754664
X = 0.861821; Y = 0.74595
X = 0.856012; Y = 0.7535
X = 0.988064; Y = 0.422893
X = 0.991267; Y = 0.431863
X = 0.935528; Y = 0.694434
X = 0.939641; Y = 0.682699
X = 0.942018; Y = 0.693397
X = 0.555658; Y = 0.393152
X = 0.561646; Y = 0.39646
X = 0.915401; Y = 0.709413
X = 0.910953; Y = 0.718426
X = 0.916195; Y = 0.703156
X = 0.915353; Y = 0.715258
X = 0.774312; Y = 0.29817
X = 0.761292; Y = 0.296963
X = 0.738031; Y = 0.776315
X = 0.745637; Y = 0.775017
X = 0.594158; Y = 0.371495
X = 0.602293; Y = 0.372416
X = 0.587745; Y = 0.373781
X = 0.914975; Y = 0.396528
X = 0.511587; Y = 0.438041
X = 0.517728; Y = 0.441208
X = 0.970057; Y = 0.403143
X = 0.96458; Y = 0.413107
X = 0.975675; Y = 0.406642
X = 0.739296; Y = 0.306017
X = 0.748017; Y = 0.304377
X = 0.568001; Y = 0.470021
X = 0.852403; Y = 0.40683
X = 0.592505; Y = 0.73721
X = 0.595195; Y = 0.746999
X = 0.531416; Y = 0.445084
X = 0.511675; Y = 0.664616
X = 0.983533; Y = 0.547405
X = 0.980414; Y = 0.541603
X = 0.97531; Y = 0.542151
X = 0.989019; Y = 0.539499
X = 0.988457; Y = 0.545183
X = 0.722062; Y = 0.77637
X = 0.731065; Y = 0.780788
X = 0.952165; Y = 0.636265
X = 0.550757; Y = 0.726235
X = 0.835861; Y = 0.347302
X = 0.841481; Y = 0.346055
X = 0.490161; Y = 0.656925
X = 0.858946; Y = 0.76276
X = 0.962417; Y = 0.577193
X = 0.596198; Y = 0.366791
X = 0.602679; Y = 0.365965
X = 0.603972; Y = 0.746464
X = 0.601892; Y = 0.752076
X = 0.605359; Y = 0.758521
X = 0.609697; Y = 0.743162
X = 0.682624; Y = 0.742382
X = 0.987309; Y = 0.457177
X = 0.977336; Y = 0.452702
X = 0.966656; Y = 0.607124
X = 0.724098; Y = 0.308846
X = 0.718642; Y = 0.313586
X = 0.475243; Y = 0.516776
X = 0.990931; Y = 0.414068
X = 0.993003; Y = 0.42566
X = 0.986091; Y = 0.41813
X = 0.980988; Y = 0.420768
X = 0.919238; Y = 0.695555
X = 0.907058; Y = 0.69479
X = 0.911502; Y = 0.698888
X = 0.468084; Y = 0.625194
X = 0.466634; Y = 0.618185
X = 0.477722; Y = 0.624915
X = 0.466955; Y = 0.611054
X = 0.866198; Y = 0.37119
X = 0.876201; Y = 0.371309
X = 0.871124; Y = 0.369764
X = 0.960378; Y = 0.64169
X = 0.948407; Y = 0.643257
X = 0.955137; Y = 0.610703
X = 0.949448; Y = 0.610724
X = 0.973502; Y = 0.612944
X = 0.980898; Y = 0.599818
X = 0.977087; Y = 0.60625
X = 0.968187; Y = 0.612066
X = 0.977781; Y = 0.595852
X = 0.751893; Y = 0.758932
X = 0.860407; Y = 0.38106
X = 0.861546; Y = 0.374623
X = 0.452712; Y = 0.534674
X = 0.456382; Y = 0.541312
X = 0.457839; Y = 0.525916
X = 0.455282; Y = 0.546195
X = 0.45683; Y = 0.554452
X = 0.461567; Y = 0.552522
X = 0.568104; Y = 0.391197
X = 0.709642; Y = 0.77019
X = 0.658911; Y = 0.301807
X = 0.66506; Y = 0.305341
X = 0.686585; Y = 0.764822
X = 0.692451; Y = 0.764313
X = 0.520859; Y = 0.708401
X = 0.531842; Y = 0.713468
X = 0.524561; Y = 0.712896
X = 0.804069; Y = 0.314433
X = 0.799115; Y = 0.312085
X = 0.951138; Y = 0.648628
X = 0.955214; Y = 0.645679
X = 0.942714; Y = 0.645747
X = 0.829082; Y = 0.352587
X = 0.996263; Y = 0.542045
X = 0.996227; Y = 0.536229
X = 0.509269; Y = 0.706661
X = 0.930251; Y = 0.663195
X = 0.636466; Y = 0.348587
X = 0.979205; Y = 0.562917
X = 0.972249; Y = 0.563356
X = 0.983319; Y = 0.557887
X = 0.530319; Y = 0.723115
X = 0.523546; Y = 0.718795
X = 0.528865; Y = 0.717665
X = 0.769923; Y = 0.29302
X = 0.777978; Y = 0.3049
X = 0.776087; Y = 0.288477
X = 0.778432; Y = 0.29304
X = 0.944428; Y = 0.688687
X = 0.943898; Y = 0.678831
X = 0.938711; Y = 0.675755
X = 0.51053; Y = 0.650267
X = 0.631951; Y = 0.345339
X = 0.633407; Y = 0.359172
X = 0.815228; Y = 0.748924
X = 0.47114; Y = 0.589049
X = 0.473217; Y = 0.58293
X = 0.961861; Y = 0.609532
X = 0.926102; Y = 0.400739
X = 0.92289; Y = 0.396823
X = 0.920726; Y = 0.391985
X = 0.848631; Y = 0.337885
X = 0.986336; Y = 0.552124
X = 0.990927; Y = 0.555909
X = 0.988503; Y = 0.560552
X = 0.985249; Y = 0.564442
X = 0.535838; Y = 0.728325
X = 0.533876; Y = 0.719222
X = 0.487492; Y = 0.473095
X = 0.484855; Y = 0.47981
X = 0.57495; Y = 0.758275
X = 0.586541; Y = 0.756445
X = 0.584689; Y = 0.761446
X = 0.581789; Y = 0.372833
X = 0.589281; Y = 0.36691
X = 0.747931; Y = 0.764586
X = 0.60142; Y = 0.740706
X = 0.607471; Y = 0.361834
X = 0.460576; Y = 0.622979
X = 0.459615; Y = 0.612185
X = 0.961654; Y = 0.616762
X = 0.541151; Y = 0.435579
X = 0.49523; Y = 0.664419
X = 0.980125; Y = 0.456974
X = 0.465941; Y = 0.587545
X = 0.459996; Y = 0.594965
X = 0.702643; Y = 0.772883
X = 0.690207; Y = 0.773178
X = 0.696596; Y = 0.77723
X = 0.561414; Y = 0.38156
X = 0.565733; Y = 0.375918
X = 0.650251; Y = 0.759363
X = 0.655119; Y = 0.75808
X = 0.660118; Y = 0.753012
X = 0.929207; Y = 0.671399
X = 0.937785; Y = 0.670349
X = 0.681648; Y = 0.303148
X = 0.676122; Y = 0.304161
X = 0.522021; Y = 0.723627
X = 0.519999; Y = 0.71496
X = 0.855292; Y = 0.342945
X = 0.847052; Y = 0.332873
X = 0.84958; Y = 0.34387
X = 0.857037; Y = 0.333143
X = 0.765334; Y = 0.763114
X = 0.759832; Y = 0.761228
X = 0.833038; Y = 0.757134
X = 0.842113; Y = 0.759632
X = 0.51893; Y = 0.502316
X = 0.470372; Y = 0.578738
X = 0.458374; Y = 0.585126
X = 0.456367; Y = 0.589717
X = 0.998083; Y = 0.46097
X = 0.993683; Y = 0.45603
X = 0.787356; Y = 0.7605
X = 0.781587; Y = 0.75991
X = 0.993141; Y = 0.492922
X = 0.996158; Y = 0.440265
X = 0.858307; Y = 0.369821
X = 0.867865; Y = 0.361737
X = 0.858991; Y = 0.364364
X = 0.485268; Y = 0.660446
X = 0.48824; Y = 0.664759
X = 0.570647; Y = 0.748057
X = 0.570692; Y = 0.739166
X = 0.508007; Y = 0.432305
X = 0.520438; Y = 0.435465
X = 0.505382; Y = 0.439376
X = 0.503157; Y = 0.434684
X = 0.974785; Y = 0.621163
X = 0.980272; Y = 0.611839
X = 0.712966; Y = 0.309073
X = 0.706978; Y = 0.3091
X = 0.711645; Y = 0.77935
X = 0.642833; Y = 0.759795
X = 0.514127; Y = 0.723986
X = 0.515808; Y = 0.719062
X = 0.524525; Y = 0.732011
X = 0.516331; Y = 0.728711
X = 0.876874; Y = 0.72027
X = 0.870559; Y = 0.722226
X = 0.849145; Y = 0.325169
X = 0.599319; Y = 0.757476
X = 0.601698; Y = 0.764053
X = 0.613161; Y = 0.76243
X = 0.823028; Y = 0.753881
X = 0.927937; Y = 0.392057
X = 0.930691; Y = 0.39827
X = 0.736948; Y = 0.782841
X = 0.723402; Y = 0.786803
X = 0.728378; Y = 0.787634
X = 0.725395; Y = 0.780381
X = 0.7337; Y = 0.790387
X = 0.81985; Y = 0.318318
X = 0.814489; Y = 0.314712
X = 0.470853; Y = 0.629949
X = 0.464529; Y = 0.628758
X = 0.975866; Y = 0.570352
X = 0.651089; Y = 0.300017
X = 0.651138; Y = 0.313835
X = 0.64341; Y = 0.304341
X = 0.645902; Y = 0.314553
X = 0.655083; Y = 0.305214
X = 0.922133; Y = 0.709051
X = 0.923734; Y = 0.718049
X = 0.91872; Y = 0.723387
X = 0.912487; Y = 0.723276
X = 0.863958; Y = 0.364954
X = 0.837419; Y = 0.765884
X = 0.844402; Y = 0.764778
X = 0.637212; Y = 0.762708
X = 0.714823; Y = 0.317843
X = 0.959469; Y = 0.652233
X = 0.958026; Y = 0.637067
X = 0.964598; Y = 0.648288
X = 0.946131; Y = 0.649843
X = 0.596309; Y = 0.358601
X = 0.596411; Y = 0.704113
X = 0.476938; Y = 0.648575
X = 0.47325; Y = 0.6363
X = 0.470311; Y = 0.643333
X = 0.926433; Y = 0.440276
X = 0.931106; Y = 0.43397
X = 0.998775; Y = 0.486102
X = 0.482591; Y = 0.487785
X = 0.478606; Y = 0.492572
X = 0.86495; Y = 0.725537
X = 0.872152; Y = 0.727585
X = 0.869882; Y = 0.733798
X = 0.949369; Y = 0.695045
X = 0.945392; Y = 0.699612
X = 0.948613; Y = 0.685938
X = 0.940019; Y = 0.702632
X = 0.774335; Y = 0.764531
X = 0.999119; Y = 0.49907
X = 0.64427; Y = 0.309725
X = 0.844474; Y = 0.341174
X = 0.807298; Y = 0.754499
X = 0.796481; Y = 0.753282
X = 0.801865; Y = 0.752987
X = 0.503547; Y = 0.656664
X = 0.514788; Y = 0.71224
X = 0.510454; Y = 0.717341
X = 0.629697; Y = 0.762631
X = 0.86393; Y = 0.73933
X = 0.992936; Y = 0.549396
X = 0.461897; Y = 0.567693
X = 0.462094; Y = 0.580429
X = 0.456687; Y = 0.569031
X = 0.468003; Y = 0.566125
X = 0.459114; Y = 0.574359
X = 0.923141; Y = 0.703216
X = 0.80921; Y = 0.409778
X = 0.811391; Y = 0.4028
X = 0.551595; Y = 0.390213
X = 0.546465; Y = 0.391344
X = 0.555873; Y = 0.383039
X = 0.830692; Y = 0.31509
X = 0.825556; Y = 0.317032
X = 0.484588; Y = 0.464644
X = 0.496739; Y = 0.458111
X = 0.487669; Y = 0.460496
X = 0.915446; Y = 0.729545
X = 0.924497; Y = 0.72952
X = 0.928015; Y = 0.725715
X = 0.920195; Y = 0.732816
X = 0.968741; Y = 0.577304
X = 0.590619; Y = 0.760134
X = 0.579422; Y = 0.76128
X = 0.49804; Y = 0.433579
X = 0.498304; Y = 0.445962
X = 0.495685; Y = 0.440389
X = 0.995662; Y = 0.434871
X = 0.535933; Y = 0.668437
X = 0.868648; Y = 0.744129
X = 0.866217; Y = 0.751161
X = 0.856225; Y = 0.743676
X = 0.804662; Y = 0.30743
X = 0.795801; Y = 0.30529
X = 0.591643; Y = 0.36244
X = 0.624755; Y = 0.343066
X = 0.635939; Y = 0.342144
X = 0.502305; Y = 0.456758
X = 0.819001; Y = 0.311481
X = 0.82614; Y = 0.31206
X = 0.845666; Y = 0.387374
X = 0.547102; Y = 0.38142
X = 0.543396; Y = 0.387033
X = 0.809385; Y = 0.318397
X = 0.719677; Y = 0.304024
X = 0.724885; Y = 0.300558
X = 0.728438; Y = 0.304139
X = 0.855313; Y = 0.374237
